weather_dataset_id,location_id,source_id,temporal_resolution,start_timestamp,end_timestamp,record_count,timezone,file_format,relative_filepath,variables_included,quality_status
WEA-IN-LEH-2026,LOC-IN-LEH,SRC-OPEN-METEO-ARCHIVE,1h,2026-01-01T00:00,2026-08-26T23:00,5712,Asia/Kolkata (IST),CSV,data/raw/leh_weather_2026.csv,"temperature_2m,relativehumidity_2m,apparent_temperature,shortwave_radiation,windspeed_10m,precipitation,pressure_msl",COMPLETE_ZERO_NULLS
WEA-IN-SHIMLA-2026,LOC-IN-SHIMLA,SRC-OPEN-METEO-ARCHIVE,1h,2026-01-01T00:00,2026-08-26T23:00,5712,Asia/Kolkata (IST),CSV,data/raw/shimla_weather_2026.csv,"temperature_2m,relativehumidity_2m,apparent_temperature,shortwave_radiation,windspeed_10m,precipitation,pressure_msl",COMPLETE_ZERO_NULLS
WEA-IN-JAIPUR-2026,LOC-IN-JAIPUR,SRC-OPEN-METEO-ARCHIVE,1h,2026-01-01T00:00,2026-08-26T23:00,5712,Asia/Kolkata (IST),CSV,data/raw/jaipur_weather_2026.csv,"temperature_2m,relativehumidity_2m,apparent_temperature,shortwave_radiation,windspeed_10m,precipitation,pressure_msl",COMPLETE_ZERO_NULLS
WEA-IN-KARUR-2026,LOC-IN-KARUR,SRC-OPEN-METEO-ARCHIVE,1h,2026-01-01T00:00,2026-08-26T23:00,5712,Asia/Kolkata (IST),CSV,data/raw/karur_weather_2026.csv,"temperature_2m,relativehumidity_2m,apparent_temperature,shortwave_radiation,windspeed_10m,precipitation,pressure_msl",COMPLETE_ZERO_NULLS
